asset_number,title_of_plaque,description_of_plaque,tree_common_name,tree_scientific_name,date_of_tree_planted,lon,lat,location
1498917,18 SQUADRON NEI-RAAF FORCES ASSOCIATION,THIS LOMBARDY POPLAR WAS DEDICATED 18 NOVEMBER 1990 DURING A GATHERING OF MEMBERS OF 18 SQUADRON NEI-RAAF FORCES ASSOCIATION IN MEMORY OF 110 COMRADES WHO LOST THEIR LIVES 1942 - 1945 AND THOSE WHO HAVE SINCE PAASED ON.,Flame Tree,Brachychiton acerifolius,2017-04-11,-37.83046902995829,144.9745044552407,"-37.83046902995829, 144.9745044552407"
1498965,NEW ZEALAND EXPEDITIONARY FORCE,NEW ZEALAND EXPEDITIONARY FORCE,Pohutukawa,Metrosideros excelsa,1998-04-09,-37.831227642688,144.97421658524627,"-37.831227642688, 144.97421658524627"
1499074,39TH BATTALION,39TH BATTALION,Lemon Scented Gum,Corymbia citriodora,1998-07-09,-37.82942067687922,144.97374938662193,"-37.82942067687922, 144.97374938662193"
1499079,POLISH ARMED FORCES,"1939-1945 A TRIBUTE TO THE MEMBERS OF THE POLISH ARMED FORCES WHO MADE THE SUPREME SACRIFICE DURING WORLD WAR II IN POLAND AND ALONGSIDE BRITISH, AUSTRALIAN AND COMMONWEALTH FORCES THEY GAVE THEIR LIVES TO KEEP FOREVER BRIGHT THAT PRECIOUS LIGHT FREE TAKE UNTO THYSELF O LORD THE SOULS OF THE VALIANT",Red Oak,Quercus rubra,2010-08-30,-37.829090421727706,144.9737770547481,"-37.829090421727706, 144.9737770547481"
1498987,"H.M.A. SHIPS MINESWEEPER TERKA, SERVICE ADELE SURVEY VESSEL WATCHER, LUGGER","THIS GOLDEN CYPRESS TREE IS DEDICATED TO H.M.A. SHIPS LOST IN WORLD WAR II MINESWEEPER TERKA, SERVICE ADELE SURVEY VESSEL WATCHER, LUGGER -- LEST WE FORGET",Monterey Cypress,Hesperocyparis macrocarpa,1998-04-09,-37.83125922555673,144.97493664686232,"-37.83125922555673, 144.97493664686232"
1499056,SOUTH-WEST PACIFIC R.A.A.F.,SOUTH-WEST PACIFIC R.A.A.F.,Moreton Bay Fig,Ficus macrophylla,2014-10-28,-37.83013109907542,144.97431122735125,"-37.83013109907542, 144.97431122735125"
1499029,ROYAL AUSTRALIAN REGIMENT REPRESENTING ALL PAST AND PRESENT BATTALIONS,ROYAL AUSTRALIAN REGIMENT REPRESENTING ALL PAST AND PRESENT BATTALIONS,River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.830159680351194,144.9720506708567,"-37.830159680351194, 144.9720506708567"
1499062,86 SQUADRON R.A.A.F.,86 SQUADRON R.A.A.F.,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83003541319421,144.9739980967705,"-37.83003541319421, 144.9739980967705"
1498942,THE R.A.N. 1914 LANDING PARTY,THE R. A. N. 1914 LANDING PARTY,Cork Oak,Quercus suber,2012-07-03,-37.83123205663128,144.97447836090356,"-37.83123205663128, 144.97447836090356"
1498921,WAR WIDOWS & WIDOWED MOTHERS ASSOCIATION,WAR WIDOWS & WIDOWED MOTHERS ASSOCIATION FOUNDED IN 1922 IN MEMORY OF THOSE WHO GAVE THEIR LIVES LEST WE FORGET,Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.8305743547078,144.97430410326152,"-37.8305743547078, 144.97430410326152"
1499078,R.A.A.F. SOUTH-EAST ASIA,R.A.A.F. SOUTH-EAST ASIA,Lemon Scented Gum,Corymbia citriodora,2011-08-15,-37.82911989596995,144.97389259299842,"-37.82911989596995, 144.97389259299842"
1499035,2/2ND HEAVY ANTI-AIRCRAFT REGIMENT,2/2ND HEAVY ANTI-AIRCRAFT REGIMENT,Algerian Oak,Quercus canariensis,1998-07-09,-37.83194895216538,144.97250524956758,"-37.83194895216538, 144.97250524956758"
1499152,4TH RESERVE M.T. COMPANY 2ND AIF,4TH RESERVE M.T. COMPANY 2ND AIF  MALAYA-SINGAPORE 1941-45,English Elm,Ulmus procera,1998-07-09,-37.82828049916936,144.97214188808863,"-37.82828049916936, 144.97214188808863"
1499151,"9TH AUSTRALIAN DIVISION, 2ND A.I.F.","9TH AUSTRALIAN DIVISION, 2ND A.I.F. SIEGE OF TOBRUK (LIBYA). APRIL-NOVEMBER 1941 EL ALAMEIN CAAMPAIGN (EGYPT). JULY-NOVEMBER 1942 NEW GUINEA CAMPAIGN, AUGUST 1943 - FEBRUARY 1944 TARAKAN & NORTH BORNEO CAMPAIGNS. MAY-AUGUST 1945",English Elm,Ulmus procera,1998-07-09,-37.82812531677771,144.9720791030953,"-37.82812531677771, 144.9720791030953"
1498895,2/14 BATTALION,2/14 BATTALION,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.830194123206304,144.9726900865175,"-37.830194123206304, 144.9726900865175"
1498974,H.M.A. MOTOR LAUNCHES LOST IN WORLD WAR II,"THIS GOLDEN CYPRESS TREE IS DEDICATED TO H.M.A. MOTOR LAUNCHES LOST IN WORLD WAR II BUNDARRA FAURO-CHIEF GLADMOR LOLITA, MARLEAN, MAROUBRA. NEREUS SIESTA SILVER-CLOUD SIROCCO STARFISH. STEADY HOUR M.L. 30 LEST WE FORGET",Monterey Cypress,Hesperocyparis macrocarpa,1998-04-09,-37.83125850518306,144.97463807046054,"-37.83125850518306, 144.97463807046054"
1498899,2ND FIELD BRIGADE FIELD ARTILLERY. 2ND FIELD REGIEMENT (A.I.F),2ND FIELD BRIGADE FIELD ARTILLERY 1914 - 1918 GALLIPOLI FRANCE 2ND FIELD REGIEMENT (A.I.F) 1939  1945 PAPUA NEW GUINEA BOUGAINVILLE LEST WE FORGET,Willow myrtle,Agonis flexuosa,2010-08-30,-37.82973252355115,144.9719198889321,"-37.82973252355115, 144.9719198889321"
1499121,10TH LIGHT TRENCH MORTAR BATTERY,10TH LIGHT TRENCH MORTAR BATTERY,English Elm,Ulmus procera,1998-07-09,-37.82797678758966,144.97253342964848,"-37.82797678758966, 144.97253342964848"
1499072,LORD MAYOR OF LONDON SIR PETER GADSDEN,"CARPINUS BETULUS FASTIGIATA (UPRIGHT BEAM) PLANTED BY THE RIGHT HONOURABLE THE LORD MAYOR OF LONDON SIR PETER GADSDEN  M.A. D. Sc. F. Eng. ON THE 27TH AUGUST, 1980.",,,,-37.82740000775689,144.97368343664584,"-37.82740000775689, 144.97368343664584"
1499085,THE NEW GUINEA WOMEN'S ASSOCIATION MELBOURNE,THIS SEAT WAS PRESENTED BY THE NEW GUINEA WOMEN'S ASSOCIATION MELBOURNE IN MEMORY OF THE MEN AND WOMEN RESIDENTS OF NEW GUINEA WHO L0ST THEIR LIVES AS A RESULT OF THE PACIFIC WAR 1941 9 1945,,,,-37.83118763910922,144.9732955321061,"-37.83118763910922, 144.9732955321061"
1498900,2/8TH AUSTRALIAN INFANTRY BATTALION,2/8TH AUSTRALIAN INFANTRY BATTALION 1939 - 1945 NULLI SECUNDUS DEDICARED TO ALL MEN WHO SERVED IN THE BATTALOIN BATTLE HONOURS BARDIA - CAPTURE OF TOBRUK - DERNA GREECE - MT OLYMPUS - VEVI - CRETE - WITHDRAWAL TO SPHAKIA SOUTH WEST PACIFIC LEST WE FO,Willow myrtle,Agonis flexuosa,2010-08-30,-37.82980122626955,144.97197936181382,"-37.82980122626955, 144.97197936181382"
1499154,I AUST. COPRS PETROL PARK,I AUST. COPRS PETROL PARK,English Elm,Ulmus procera,1998-07-09,-37.82857363760003,144.97228758613943,"-37.82857363760003, 144.97228758613943"
1499122,54TH BATTERY FIELD ARTILLERY,54TH BATTERY FIELD ARTILLERY,English Elm,Ulmus procera,1998-07-09,-37.82812978046782,144.97259991113634,"-37.82812978046782, 144.97259991113634"
1499027,3rd DIVISION AUSTRALIAN ARMY SERVICE CORPS,3rd DIVISION AUSTRALIAN ARMY SERVICE CORPS NEW GUINEA NEW BRITAIN BOUGAINVILLE 1939 - 1945 TO ALL THOSE WHO SERVED,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.83028997156275,144.97195018590128,"-37.83028997156275, 144.97195018590128"
1499118,6TH FIELD ARTILLERY BRIGADE,6TH FIELD ARTILLERY BRIGADE,English Elm,Ulmus procera,1998-07-09,-37.82753326667741,144.97232106592259,"-37.82753326667741, 144.97232106592259"
1498896,29/46 BATTALION,29/46 BATTALION,Stone Pine,Pinus pinea,2010-08-30,-37.82973960734035,144.9721898801384,"-37.82973960734035, 144.9721898801384"
1498922,AMERICAN FORCES,"DEDICATED TO THOSE WHO SERVED IN THE AMERICAN FORCES, IN THE CAUSE OF WORLD PEACE LEST WE FORGET",Flame Tree,Brachychiton acerifolius,2011-09-06,-37.83096349231864,144.974964730291,"-37.83096349231864, 144.974964730291"
1498976,THE WOMENS ROYAL AUSTRALIAN NAVAL SERVICE (W.R.A.N.S.),THE WOMENS ROYAL AUSTRALIAN NAVAL SERVICE (W.R.A.N.S.),Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.831169044628304,144.97507966174715,"-37.831169044628304, 144.97507966174715"
1498944,HMAS SYDNEY,HMAS SYDNEY 19TH NOVEMBER 1941,Algerian Oak,Quercus canariensis,1998-03-09,-37.83204150174851,144.9749399126175,"-37.83204150174851, 144.9749399126175"
1498973,HMAS MATAFELE,HMAS MATAFELE LOST AT SEA 20. 6. 44,Japanese Chestnut Oak,Quercus acutissima,2010-09-10,-37.831151637928464,144.97466496697083,"-37.831151637928464, 144.97466496697083"
1498980,H.M.A.S. KIAMA,H.M.A.S. KIAMA,Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.8316211795576,144.97532158490654,"-37.8316211795576, 144.97532158490654"
1498923,REPRRESENTING U.S.A.,"LIQUIDAMBAR REPRESENTING U.S.A. 2ND NOVEMBER, 1970.",Liquidamber or Sweet Gum,Liquidambar styraciflua,1998-04-09,-37.83054257876455,144.97474093206603,"-37.83054257876455, 144.97474093206603"
1499176,2/11 FIELD REGIMENT,DEDICATED TO THOSE WHO SERVED IN THE 2/11 FIELD REGIMENT IN WORLD WAR TWO  LEST WE FORGET  MIDDLE EAST  DARWIN  NEW GUINEA  BOUGAINVILLE,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82900840028477,144.97171941237835,"-37.82900840028477, 144.97171941237835"
1734453,Royal Australian Army Ordnance Corps,"Royal Australian Army Ordnance Corps First established 8th July 1902 Providing Supply Support Services to the Australian Defence Forces throughout the world ""Sue Tela Tonanti"" (TO THE WARRIOR HIS ARMS)",Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.830780267751344,144.972147071303,"-37.830780267751344, 144.972147071303"
1499019,ROYAL AUSTRALIAN ARMOURED CORPS ASSOCIATION VICTORIAN BRANCH,"To the men of Armour In Remembrance of thei Courage, Sacrifice and Service This memorial is dedicated. ROYAL AUSTRALIAN ARMOURED CORPS ASSOCIATION VICTORIAN BRANCH 7TH FEBRURY 2006",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.831045775791154,144.97288094922587,"-37.831045775791154, 144.97288094922587"
1734454,2/2 PIONEER BATTALION,2/2 PIONEER BATTALION,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.83027033914008,144.97206604725383,"-37.83027033914008, 144.97206604725383"
1499081,AUSTRALIA INDEPENDENT COMPANIES COMMANDO SQUADRONS M & Z SPECIAL UNITS,1939 WORLD WAR II 1945 IN MEMORY OF THE OFFICERS AND MEN OF AUSTRALIAN INDEPENDENT COMPANIES COMMANDO SQUADRONS M & Z SPECIAL UNITS WHO GAVE THEIR LIVES FOR THEIR COUNTRY,,,,-37.83049612804582,144.9721575779613,"-37.83049612804582, 144.9721575779613"
1498920,EXTREMELY DISABLED WAR VETERANS,"EXTREMELY DISABLED WAR VETERANS DEDICATED IN MEMORY TO E.D.A. WHO SERVED IN THE 3 ARMS OF WWII AND POST CONFLICTS WITH ALLIED PERSONNEL & PEACE KEEPER, PEACE MAKERS WHO RETURNED, TO KEEP THEIR COUNTRY FREE",Bhutan Cypress,Cupressus torulosa,2015-04-15,-37.83068181004943,144.97431139005897,"-37.83068181004943, 144.97431139005897"
1499067,24th BATTALION A.I.F,LONE PINE GROWN FROM GALLIPOLI LONE PINE SEED IN REMEMBRANCE OF FALLEN COMRADES 24th BATTALION A.I.F,Calabrian Pine,Pinus brutia,2017-05-11,-37.829800724379325,144.97382920275578,"-37.829800724379325, 144.97382920275578"
1498901,2/24TH AUSTRALIAN INFANTRY BATTALION,"THIS CRATAEGUS HAWTHORN TREE IS DEDICATED TO 2/24TH AUSTRALIAN INFANTRY BATTALION ""WANGARATTA'S OWN"" LEST WE FORGET",Willow myrtle,Agonis flexuosa,1998-07-09,-37.82975682940348,144.97207533545608,"-37.82975682940348, 144.97207533545608"
1499043,FAR EAST STRATEGIC RESERVE NAVY ASSOCIATION,FAR EAST STRATEGIC RESERVE NAVY ASSOCIATION MALAYA - MALAYSIA - VIETNAM 1955 - 1971,Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,"-37.83141323463639, 144.9723395986132"
1498962,HMAS CULGOA BAY,THIS BHUTAN CYPRESS IS DEDICATED TO HMAS CULGOA BAY CLASS FRIGATE COMMISSIONED 1ST APRIL 1947 AND THOSE WHO SERVED IN HER FROM 1947 IN B.C.O.F. JAPAN. MONTE BELLO ATOMIC BOMB TEST 1952 AND THROUGH HER ACTIONS IN KOREA IN 1953 SHE PAID IN 1954 AND WEN HMAS WATERHEN AS AN ACCOMMODATION SHIP UNTIL 1972,Bhutan Cypress,Cupressus torulosa,1998-02-09,-37.831366427557256,144.97408064762647,"-37.831366427557256, 144.97408064762647"
1498902,4TH FIELD AMBULANCE,4TH FIELD AMBULANCE 1939 - 45,Yellow Gum,Eucalyptus leucoxylon,2015-06-25,-37.82990684984977,144.9721523517472,"-37.82990684984977, 144.9721523517472"
1498954,H.M.A.S. GOORANGAI AND MINESWEEPERS,H.M.A.S. GOORANGAI AND MINESWEEPERS,Algerian Oak,Quercus canariensis,1998-03-09,-37.831916327028544,144.9745888345601,"-37.831916327028544, 144.9745888345601"
1499034,31 SQDN BEAUFIGHTER RAAF,"DEDICATED TO ALL MEMBERS WHO SERVED IN 31 SQDN BEAUFIGHTER RAAF DARWIN, NOEMFOOR, MOROTAI, SANGA SANGA, TARAKAN",River Red Gum,Eucalyptus camaldulensis,2010-09-10,-37.83132465843516,144.9718378868724,"-37.83132465843516, 144.9718378868724"
1499005,2/31st AUSTRALIAN INFANTRY BATTALION 25 Brigade - 7 Division,"2/31st AUSTRALIAN INFANTRY BATTALION 25 Brigade - 7 Division AIF In proud remembrance of the Officers, NCOs and Men who dies whilst on active service in the Middle East, New Guinea & Borneo during World War II 1939 - 1945 Lest We Forget",Golden Poplar,Populus x canadensis,1998-07-09,-37.83219314932881,144.97325244914717,"-37.83219314932881, 144.97325244914717"
1498927,CRETE,CRETE,tba,Olea europaea,1998-04-09,-37.83059672278496,144.97461424222743,"-37.83059672278496, 144.97461424222743"
1499110,14TH BATTALION,14TH BATTALION,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8279012559137,144.97234428165532,"-37.8279012559137, 144.97234428165532"
1498913,ROYAL AUST. SURVEY CORPS,ROYAL AUST. SURVEY CORPS,Sheoak,Casuarina unknown,1998-07-09,-37.82950837434538,144.97201249016175,"-37.82950837434538, 144.97201249016175"
1499084,THE 1953 AUSTRALIAN CORONATION CONTINGENT,"THE 1953 AUSTRALIAN CORONATION CONTINGENT To commemorate Men and Women of the Australian Defence Force selected to represent Australia at the Coronation of Her Majesty, Queens Elizabeth the second, in London on 2nd June 1953",,,,-37.83107873535637,144.97296333109736,"-37.83107873535637, 144.97296333109736"
1499099,INFANTRY 58TH BATTALION,INFANTRY 58TH BATTALION 1916-1918 · FROMELLERS · SOMME · BULLECOURT · YPRES · POLYGON WOOD · AVRE · VILLERS BRETONNEUX · AMIENS · MONT ST QUENTIN · HINDENBURG LINE · SILVER POPLAR  DEDICATED 24 APRIL 2005  LEST WE FORGET,Golden Poplar,Populus x canadensis,1998-07-09,-37.828517978361376,144.97300125995406,"-37.828517978361376, 144.97300125995406"
1499127,INFANTRY 59TH BATTALION,INFANTRY 59TH BATTALION 1916-1918 · FROMELLES · SOMME · BULLECOURT · YPRES · POLYGON WOOD · AVRE · VILLERS BRETONNEUX · AMIENS · MONT ST QUETIN · HINDENBURG LINE ·  EUCALYPTUS MACULATA  DEDICATED 19 JULY 1992  LEST WE FORGET,Spotted Gum,Corymbia maculata,2000-01-02,-37.828133111445666,144.9728404590866,"-37.828133111445666, 144.9728404590866"
